Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg Sol;71415;SMHIs grundnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timme, 1 gång/tim;watt per square metre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-01-01 00:00:00;2010-10-06 23:59:59;30.0;57.7080;11.9920
2010-10-07 00:00:00;2022-09-01 13:00:00;84.824;57.6879;11.9796

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;;Tidsutsnitt:
2008-01-01;00:00:00;0.00;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-01-01;01:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 2008-01-01 00:00:00 (UTC)
2008-01-01;02:00:00;0.00;G;;Tidsperiod (t.o.m.) = 2022-06-01 06:00:00 (UTC)
2008-01-01;03:00:00;0.00;G;;Samplingstid = 1 timme
2008-01-01;04:00:00;0.00;G;;
2008-01-01;05:00:00;0.00;G;;Kvalitetskoderna:
2008-01-01;06:00:00;0.00;G;;Grön (G) = Kontrollerade och godkända värden.
2008-01-01;07:00:00;0.00;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-01-01;08:00:00;0.75;G;;
2008-01-01;09:00:00;7.99;G;;Nätinformation:
2008-01-01;10:00:00;21.83;G;;SMHIs Grundnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. Stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2008-01-01;11:00:00;28.09;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2008-01-01;12:00:00;65.55;G;;
